role,pair_id,chunk_size_chars,overlap_chars,chunk_id,joint_evidence_preserved,cosine_to_query,pc1,pc2
joint_evidence,wm20,1024,64,chunk-ablation-wm20#chunk-001,True,0.6476742,0.08828132,0.06444608
joint_evidence,wm01,1024,128,chunk-ablation-wm01#chunk-000,True,0.56664479,0.1595154,0.02640978
joint_evidence,wm02,1024,128,chunk-ablation-wm02#chunk-000,True,0.56732821,0.17295465,0.05081873
joint_evidence,wm03,1024,128,chunk-ablation-wm03#chunk-000,True,0.598454,0.14160678,0.01782985
joint_evidence,wm04,1024,128,chunk-ablation-wm04#chunk-000,True,0.54369068,0.15011464,-0.00523992
joint_evidence,wm05,1024,128,chunk-ablation-wm05#chunk-000,True,0.55121094,0.16570202,0.02663903
joint_evidence,wm06,1024,128,chunk-ablation-wm06#chunk-000,True,0.55994487,0.16803874,0.10298642
joint_evidence,wm07,1024,128,chunk-ablation-wm07#chunk-000,True,0.50337458,0.18905601,0.03666499
joint_evidence,wm08,1024,128,chunk-ablation-wm08#chunk-000,True,0.51538181,0.18429378,0.07105341
joint_evidence,wm09,1024,128,chunk-ablation-wm09#chunk-000,True,0.51824152,0.18047298,0.02779165
joint_evidence,wm10,1024,128,chunk-ablation-wm10#chunk-000,True,0.53146452,0.17716424,0.03552965
joint_evidence,wm11,1024,128,chunk-ablation-wm11#chunk-001,True,0.74374282,-0.08159639,-0.06088703
joint_evidence,wm12,1024,128,chunk-ablation-wm12#chunk-001,True,0.56950086,0.12205401,-0.05008838
joint_evidence,wm13,1024,128,chunk-ablation-wm13#chunk-001,True,0.56128371,0.12837128,-0.03397449
joint_evidence,wm14,1024,128,chunk-ablation-wm14#chunk-001,True,0.63831097,0.13675371,0.02876985
joint_evidence,wm15,1024,128,chunk-ablation-wm15#chunk-001,True,0.581393,0.17970763,0.00481678
joint_evidence,wm16,1024,128,chunk-ablation-wm16#chunk-001,True,0.59258258,0.17017041,0.02394027
joint_evidence,wm17,1024,128,chunk-ablation-wm17#chunk-001,True,0.56392896,0.12683295,0.00055101
joint_evidence,wm18,1024,128,chunk-ablation-wm18#chunk-001,True,0.58270031,0.11966473,0.04661559
joint_evidence,wm19,1024,128,chunk-ablation-wm19#chunk-001,True,0.52153945,0.17423576,0.00405916
joint_evidence,wm20,1024,128,chunk-ablation-wm20#chunk-001,True,0.6332761,0.10782355,0.07047728
