chunk_size_chars,overlap_chars,corpus_chunk_count,retriever,condition,sample_count,joint_evidence_preservation_rate,mean_joint_evidence_copy_count,target_mrr_all_pairs,target_mrr_preserved_only,median_target_rank_preserved_only,target_hit_at_1_all_pairs,target_hit_at_1_preserved_only,target_hit_at_5_all_pairs,target_hit_at_5_preserved_only,target_hit_at_10_all_pairs,target_hit_at_10_preserved_only,target_hit_at_20_all_pairs,target_hit_at_20_preserved_only
1024,64,45,rrf_hybrid,trigger_only,20,0.95,0.95,0.232976,0.245238,4,0,0,0.7,0.736842,0.95,1,0.95,1
1024,64,45,rrf_hybrid,verification,20,0.95,0.95,0.826667,0.870175,1,0.75,0.789474,0.95,1,0.95,1,0.95,1
1024,64,45,qwen3_reranker,normal,20,0.95,0.95,0.057377,0.060397,12.5,0,0,0.05,0.052632,0.2,0.210526,0.6,0.631579
1024,64,45,qwen3_reranker,trigger_only,20,0.95,0.95,0.3575,0.376316,3,0,0,0.9,0.947368,0.95,1,0.95,1
1024,64,45,qwen3_reranker,verification,20,0.95,0.95,0.95,1.0,1,0.95,1,0.95,1,0.95,1,0.95,1
1024,128,45,bm25,normal,20,1,1,0.074837,0.074837,17.0,0,0,0,0,0.2,0.2,0.65,0.65
1024,128,45,bm25,trigger_only,20,1,1,0.224167,0.224167,5.0,0,0,0.75,0.75,1,1,1,1
1024,128,45,bm25,verification,20,1,1,1.0,1.0,1.0,1,1,1,1,1,1,1,1
1024,128,45,dense,normal,20,1,1,0.069623,0.069623,18.0,0,0,0,0,0.25,0.25,0.6,0.6
1024,128,45,dense,trigger_only,20,1,1,0.244665,0.244665,4.5,0,0,0.65,0.65,0.95,0.95,1,1
1024,128,45,dense,verification,20,1,1,0.511032,0.511032,2.5,0.3,0.3,0.9,0.9,1,1,1,1
1024,128,45,rrf_hybrid,normal,20,1,1,0.077843,0.077843,18.5,0,0,0.05,0.05,0.25,0.25,0.6,0.6
1024,128,45,rrf_hybrid,trigger_only,20,1,1,0.23631,0.23631,5.0,0,0,0.7,0.7,1,1,1,1
1024,128,45,rrf_hybrid,verification,20,1,1,0.866667,0.866667,1.0,0.75,0.75,1,1,1,1,1,1
1024,128,45,qwen3_reranker,normal,20,1,1,0.060462,0.060462,10.0,0,0,0.05,0.05,0.35,0.35,0.6,0.6
1024,128,45,qwen3_reranker,trigger_only,20,1,1,0.374167,0.374167,3.0,0,0,0.95,0.95,1,1,1,1
1024,128,45,qwen3_reranker,verification,20,1,1,1.0,1.0,1.0,1,1,1,1,1,1,1,1
